dataset,target,method,ARI,NMI,n_clusters_found,best_params
Synthetic benchmark (N=8000),"mechanism_A_distance (class_label, k*=4)",KMeans (naive reference),0.1147,0.0998,4,"{""n_clusters"": 4}"
Synthetic benchmark (N=8000),"mechanism_A_distance (class_label, k*=4)",Spectral Clustering (grid-searched),0.0817,0.084,3,"{""n_clusters"": 3, ""n_neighbors"": 20}"
Synthetic benchmark (N=8000),"mechanism_A_distance (class_label, k*=4)",DBSCAN (grid-searched),0.0021,0.0289,69,"{""eps"": 0.0488, ""min_samples"": 10}"
Synthetic benchmark (N=8000),"mechanism_B_relational (hidden subgroup, k*=2)",KMeans (naive reference),0.0595,0.0574,3,"{""n_clusters"": 3}"
Synthetic benchmark (N=8000),"mechanism_B_relational (hidden subgroup, k*=2)",Spectral Clustering (grid-searched),0.0178,0.0475,3,"{""n_clusters"": 3, ""n_neighbors"": 20}"
Synthetic benchmark (N=8000),"mechanism_B_relational (hidden subgroup, k*=2)",DBSCAN (grid-searched),0.7206,0.5207,3,"{""eps"": 0.222, ""min_samples"": 20}"
Synthetic benchmark (N=8000),"mechanism_C_scale (hidden subgroup, k*=2)",KMeans (naive reference),-0.0,0.0012,2,"{""n_clusters"": 2}"
Synthetic benchmark (N=8000),"mechanism_C_scale (hidden subgroup, k*=2)",Spectral Clustering (grid-searched),-0.0,0.0002,2,"{""n_clusters"": 2, ""n_neighbors"": 20}"
Synthetic benchmark (N=8000),"mechanism_C_scale (hidden subgroup, k*=2)",DBSCAN (grid-searched),0.0074,0.0136,220,"{""eps"": 0.0253, ""min_samples"": 5}"
Wine,true class label,KMeans (naive reference),0.8951,0.8821,3,"{""n_clusters"": 3}"
Wine,true class label,Spectral Clustering (grid-searched),0.8961,0.8583,3,"{""n_clusters"": 3, ""n_neighbors"": 10}"
Wine,true class label,DBSCAN (grid-searched),0.7388,0.737,3,"{""eps"": 0.9861, ""min_samples"": 20}"
Breast Cancer,true class label,KMeans (naive reference),0.6592,0.5404,2,"{""n_clusters"": 2}"
Breast Cancer,true class label,Spectral Clustering (grid-searched),0.6661,0.5443,2,"{""n_clusters"": 2, ""n_neighbors"": 20}"
Breast Cancer,true class label,DBSCAN (grid-searched),0.5547,0.4494,2,"{""eps"": 1.0977, ""min_samples"": 20}"
Digits,true class label,KMeans (naive reference),0.3365,0.4815,9,"{""n_clusters"": 9}"
Digits,true class label,Spectral Clustering (grid-searched),0.3358,0.473,9,"{""n_clusters"": 9, ""n_neighbors"": 10}"
Digits,true class label,DBSCAN (grid-searched),0.1369,0.313,5,"{""eps"": 0.4684, ""min_samples"": 20}"
