architecture,seed,n_epochs,mse,ari_a,ari_b,ari_c
minimal,0,913,0.6825,0.004,0.165,0.001
minimal,1,940,0.6376,0.0,0.522,-0.003
minimal,2,1016,0.6216,0.0,0.515,-0.004
minimal,3,1000,0.6195,0.001,0.402,0.014
minimal,4,1186,0.607,0.45,0.135,0.001
minimal,5,2245,0.6217,0.358,0.007,0.002
minimal,6,785,0.6886,0.17,0.227,0.001
minimal,7,1057,0.5803,0.0,0.499,-0.007
minimal,8,1105,0.5887,0.017,0.373,-0.013
minimal,9,1196,0.6163,0.0,0.431,-0.005
minimal,10,1292,0.5949,0.0,0.497,0.005
minimal,11,2056,0.6014,0.213,0.066,-0.0
minimal,12,1323,0.7419,0.236,0.07,-0.003
minimal,13,1563,0.624,0.027,0.065,0.001
minimal,14,2563,0.5792,0.284,0.228,0.002
minimal,15,2197,0.6094,0.003,0.402,-0.004
minimal,16,2492,0.7522,-0.0,0.503,0.002
minimal,17,1176,0.6525,0.0,0.811,0.001
minimal,18,675,0.6432,0.442,0.134,0.002
minimal,19,2261,0.6169,0.251,0.098,-0.001
minimal,20,901,0.6267,0.307,0.231,-0.001
minimal,21,945,0.6243,0.0,0.513,-0.003
minimal,22,1569,0.6034,0.592,0.087,0.004
minimal,23,908,0.6097,-0.0,0.548,-0.003
minimal,24,1225,0.6225,0.419,0.13,-0.001
minimal,25,909,0.6732,0.111,0.022,-0.001
minimal,26,1702,0.5855,0.0,0.557,-0.002
minimal,27,1136,0.6313,0.258,0.182,0.003
minimal,28,2185,0.5556,0.0,0.53,-0.004
minimal,29,1296,0.5853,0.38,0.039,-0.001
minimal,30,1716,0.6155,0.016,0.045,-0.031
minimal,31,1194,0.6539,0.177,0.143,-0.0
minimal,32,435,0.6888,0.014,0.199,0.002
minimal,33,840,0.6261,0.02,0.092,-0.003
minimal,34,1552,0.5685,0.653,0.002,0.0
minimal,35,1156,0.7593,0.129,0.1,0.0
minimal,36,1649,0.6105,0.447,0.131,0.0
minimal,37,852,0.6356,0.424,0.139,-0.001
