noise_std,seed,ari_k4,sil_k4,top1_evr
0.5,2000,0.02723189969607722,0.36618092245996225,0.1522718101772537
0.5,2001,0.020661092511634303,0.37740923114819014,0.15371496822903655
0.5,2002,0.11345964511389858,0.3767073415640003,0.15377080182688577
0.5,2003,0.05449653903278946,0.37126348557707173,0.15465469239309484
0.5,2004,0.0669121273220597,0.38387413789040115,0.15348757583491393
0.5,2005,0.10610643162962283,0.3914749462978149,0.15320449946511672
0.5,2006,0.11201397879768822,0.38061688690441325,0.15266787498136744
0.5,2007,0.1417321862158426,0.3914169451935826,0.15237214771317975
0.5,2008,0.04583908224677032,0.3819722266141724,0.15240201172008816
0.5,2009,0.00610007117344868,0.37943767028436265,0.1541470685766084
0.5,2010,0.12988106717277464,0.38067718357154595,0.15304638573251172
0.5,2011,0.07917740147766457,0.38650834662753364,0.15336968245727348
0.5,2012,0.07259737018456444,0.38463356900793916,0.15405236704502118
0.5,2013,0.0653253482683672,0.38679721713896686,0.15187794974779995
0.5,2014,0.02891631452571057,0.38818996857743,0.15529951642566436
1.0,2000,0.02723189969607722,0.36618092245996225,0.1522718101772537
1.0,2001,0.020661092511634303,0.37740923114819014,0.15371496822903655
1.0,2002,0.11345964511389858,0.3767073415640003,0.15377080182688577
1.0,2003,0.05449653903278946,0.37126348557707173,0.15465469239309484
1.0,2004,0.0669121273220597,0.38387413789040115,0.15348757583491393
1.0,2005,0.10610643162962283,0.3914749462978149,0.15320449946511672
1.0,2006,0.11201397879768822,0.38061688690441325,0.15266787498136744
1.0,2007,0.1417321862158426,0.3914169451935826,0.15237214771317975
1.0,2008,0.04583908224677032,0.3819722266141724,0.15240201172008816
1.0,2009,0.00610007117344868,0.37943767028436265,0.1541470685766084
1.0,2010,0.12988106717277464,0.38067718357154595,0.15304638573251172
1.0,2011,0.07917740147766457,0.38650834662753364,0.15336968245727348
1.0,2012,0.07259737018456444,0.38463356900793916,0.15405236704502118
1.0,2013,0.0653253482683672,0.38679721713896686,0.15187794974779995
1.0,2014,0.02891631452571057,0.38818996857743,0.15529951642566436
2.0,2000,0.04793808160882376,0.3699965463255904,0.15209232538140757
2.0,2001,0.0007880005313199461,0.3756366765591143,0.1539734836473359
2.0,2002,0.117107659123582,0.371269091805766,0.15379193148179626
2.0,2003,0.04086157222506559,0.37383387873095403,0.15455127511109307
2.0,2004,0.06563741372879679,0.37326675986736607,0.15362518072244866
2.0,2005,0.049765699300659993,0.3814304178702488,0.15313586536370108
2.0,2006,0.04739693640901194,0.38044743926089114,0.15257728941002452
2.0,2007,0.05563413075487638,0.37893188907957326,0.1525340062956638
2.0,2008,0.08498165825800073,0.37876675432326345,0.15246348525173165
2.0,2009,0.10144039785489893,0.3729160175357004,0.1541287416462405
2.0,2010,0.0693829361884716,0.381585748682951,0.1528394210232583
2.0,2011,0.06664422821809683,0.37115237951683666,0.15350665854832052
2.0,2012,0.06822786875660401,0.3786568262158802,0.1541214479350154
2.0,2013,0.06723078105636693,0.37867621671638657,0.15184342105090842
2.0,2014,0.022523896754559614,0.38369933451854565,0.15522993221276613
4.0,2000,0.02723189969607722,0.36618092245996225,0.1522718101772537
4.0,2001,0.020661092511634303,0.37740923114819014,0.15371496822903655
4.0,2002,0.11345964511389858,0.3767073415640003,0.15377080182688577
4.0,2003,0.05449653903278946,0.37126348557707173,0.15465469239309484
4.0,2004,0.0669121273220597,0.38387413789040115,0.15348757583491393
4.0,2005,0.10610643162962283,0.3914749462978149,0.15320449946511672
4.0,2006,0.11201397879768822,0.38061688690441325,0.15266787498136744
4.0,2007,0.1417321862158426,0.3914169451935826,0.15237214771317975
4.0,2008,0.04583908224677032,0.3819722266141724,0.15240201172008816
4.0,2009,0.00610007117344868,0.37943767028436265,0.1541470685766084
4.0,2010,0.12988106717277464,0.38067718357154595,0.15304638573251172
4.0,2011,0.07917740147766457,0.38650834662753364,0.15336968245727348
4.0,2012,0.07259737018456444,0.38463356900793916,0.15405236704502118
4.0,2013,0.0653253482683672,0.38679721713896686,0.15187794974779995
4.0,2014,0.02891631452571057,0.38818996857743,0.15529951642566436
8.0,2000,0.02723189969607722,0.36618092245996225,0.1522718101772537
8.0,2001,0.020661092511634303,0.37740923114819014,0.15371496822903655
8.0,2002,0.11345964511389858,0.3767073415640003,0.15377080182688577
8.0,2003,0.05449653903278946,0.37126348557707173,0.15465469239309484
8.0,2004,0.0669121273220597,0.38387413789040115,0.15348757583491393
8.0,2005,0.10610643162962283,0.3914749462978149,0.15320449946511672
8.0,2006,0.11201397879768822,0.38061688690441325,0.15266787498136744
8.0,2007,0.1417321862158426,0.3914169451935826,0.15237214771317975
8.0,2008,0.04583908224677032,0.3819722266141724,0.15240201172008816
8.0,2009,0.00610007117344868,0.37943767028436265,0.1541470685766084
8.0,2010,0.12988106717277464,0.38067718357154595,0.15304638573251172
8.0,2011,0.07917740147766457,0.38650834662753364,0.15336968245727348
8.0,2012,0.07259737018456444,0.38463356900793916,0.15405236704502118
8.0,2013,0.0653253482683672,0.38679721713896686,0.15187794974779995
8.0,2014,0.02891631452571057,0.38818996857743,0.15529951642566436
